,latitude,longitude,population,review_count,is_open,alcohol,parking,good_for_kids,reservations,delivery,takeout,accepts_credit_cards,stars
0,40.1104457,-88.2330726,38156,5.0,1.0,1,0,0,0,1,1,1,4.5
1,40.1181331448,-88.242899908,38156,47.0,0.0,1,1,1,0,1,1,1,3.0
2,40.0996476,-88.2447683,38156,60.0,1.0,1,1,1,0,1,1,1,4.0
3,40.1190386,-88.2438816,38156,130.0,0.0,0,1,0,1,0,1,1,3.5
4,40.1112117,-88.2290795,38156,60.0,1.0,1,1,1,0,0,1,1,4.0
5,40.1183372538,-88.2437766095,38156,712.0,1.0,0,1,1,1,1,1,1,4.0
6,40.1185666238,-88.2432330386,38156,287.0,1.0,0,1,0,1,1,1,1,3.5
7,40.139982,-88.244108,38156,96.0,1.0,0,1,1,0,0,1,1,3.0
8,40.1071261,-88.243912,38156,99.0,1.0,0,1,1,0,1,1,1,3.0
9,40.1094391,-88.2306035,38156,61.0,1.0,1,1,1,1,1,1,1,2.5
10,40.1108158,-88.2291353,38156,71.0,1.0,1,1,1,0,0,1,1,3.0
11,40.1097629,-88.2408378,38156,63.0,1.0,1,1,0,0,1,1,1,3.0
12,40.1111668574,-88.2305980101,38156,41.0,1.0,1,0,1,0,1,1,1,4.5
13,40.1164204,-88.2433829,38156,37.0,1.0,1,0,1,0,0,1,1,4.5
14,40.1092811348,-88.2313949615,38156,34.0,1.0,1,1,1,0,0,1,1,3.5
15,40.117237,-88.2431919,38156,124.0,0.0,0,1,0,1,0,1,1,3.5
16,40.1099627,-88.2351409,38156,53.0,1.0,1,1,0,0,1,1,1,2.5
17,40.1110535,-88.2441408,38156,430.0,1.0,1,1,1,1,0,1,1,4.5
18,40.1104457,-88.2330726,38156,43.0,1.0,1,1,1,0,1,1,1,2.5
19,40.1375355954,-88.2444405556,38156,44.0,1.0,1,1,1,0,1,1,1,2.5
20,40.1031471749,-88.2442199019,38156,42.0,0.0,0,1,1,0,0,1,1,2.5
21,40.1032417,-88.2441637,38156,440.0,1.0,0,1,1,1,1,1,1,3.5
22,40.095434,-88.2462308201,38156,49.0,1.0,0,1,0,0,1,1,1,2.0
23,40.1166544,-88.229763,38156,61.0,1.0,0,1,1,1,1,1,1,3.5
24,40.1103078524,-88.2317322493,38156,17.0,0.0,1,0,1,0,0,1,1,4.0
25,40.109783,-88.240813,38156,25.0,1.0,1,0,1,0,1,1,1,3.0
26,40.112114,-88.241292,38156,33.0,1.0,0,1,1,1,1,1,1,3.5
27,40.1399247,-88.2458532,38156,31.0,0.0,1,1,1,0,0,1,1,3.0
28,40.122452,-88.2440267,38156,11.0,0.0,1,0,1,0,1,1,1,2.5
29,40.1076853,-88.2436688,38156,36.0,0.0,0,1,1,1,1,1,1,4.5
30,40.137405,-88.245935,38156,16.0,0.0,0,1,1,0,0,1,1,3.0
31,40.1128063,-88.2391787,38156,3.0,1.0,1,1,1,1,1,1,1,4.0
32,40.1160086,-88.2328539,38156,120.0,1.0,1,1,1,0,1,1,1,4.0
33,40.1093708,-88.2308592,38156,11.0,0.0,0,0,0,0,1,1,1,3.0
34,40.112801,-88.239078,38156,45.0,0.0,1,1,1,1,1,1,1,3.0
35,40.1087243,-88.2315754,38156,5.0,1.0,1,0,1,0,0,1,1,5.0
36,40.1112203703,-88.2290604075,38156,172.0,1.0,1,1,1,0,0,1,1,4.0
37,40.110827,-88.231612,38156,30.0,0.0,1,0,1,0,1,1,1,2.0
38,40.0940663339,-88.2473804365,38156,42.0,1.0,0,0,1,1,0,1,1,4.5
39,40.1168569,-88.2430189,38156,142.0,1.0,0,1,1,1,0,1,1,4.0
40,40.1100246,-88.2332899,38156,38.0,0.0,0,0,1,0,1,1,1,3.0
41,40.1104240262,-88.2306421466,38156,83.0,1.0,0,0,1,0,0,1,1,3.0
42,40.117978,-88.240271,38156,351.0,1.0,0,1,1,0,0,1,1,4.0
43,40.1104968,-88.2311706,38156,91.0,1.0,0,1,0,0,0,1,1,3.5
44,40.110039,-88.229804,38156,24.0,0.0,1,0,1,0,1,1,1,4.0
45,40.0984525132,-88.2442462116,38156,84.0,1.0,1,1,1,0,1,1,1,3.0
46,40.119807,-88.2438559,38156,122.0,0.0,0,1,0,1,0,1,1,3.5
47,40.12454,-88.233577,38156,57.0,1.0,1,0,1,0,1,1,1,4.5
48,40.107869,-88.2435628,38156,56.0,0.0,0,1,1,1,0,1,1,3.0
49,40.1104207856,-88.2297450105,38156,19.0,0.0,1,0,1,0,0,1,1,3.0
50,40.129902,-88.258313,38156,219.0,1.0,0,1,1,1,0,1,1,4.0
51,40.1107483422,-88.2305816,38156,36.0,1.0,1,1,1,0,1,1,1,2.5
52,40.1101577,-88.2294649,38156,72.0,1.0,1,0,1,0,0,1,1,4.0
53,40.1185005,-88.2449807,38156,115.0,1.0,0,1,1,1,0,1,1,4.0
54,40.0949553,-88.2458521,38156,51.0,1.0,1,1,1,0,1,1,1,2.5
